nid,ifid,raw_T,scbr,delta,flag
2,1, 297174902000000, 0.016493, 0.030000, 0
2,2, 297174902000000, 0.020828, 0.030000, 0
3,0, 297174902000000, 0.030712, 0.030000, 0
3,1, 297174902000000, 0.021330, 0.030000, 0
3,2, 297174902000000, 0.014828, 0.030000, 0
0,0, 297174902200000, 0.026323, 0.030000, 0
0,1, 297174902200000, 0.025425, 0.030000, 0
0,2, 297174902200000, 0.019391, 0.030000, 0
1,0, 297174902200000, 0.026731, 0.030000, 0
1,1, 297174902200000, 0.024204, 0.030000, 0
1,2, 297174902200000, 0.018604, 0.030000, 0
2,0, 297174902200000, 0.026275, 0.030000, 0
2,1, 297174902200000, 0.018467, 0.030000, 0
2,2, 297174902200000, 0.019174, 0.030000, 0
3,0, 297174902200000, 0.026996, 0.030000, 0
3,1, 297174902200000, 0.023805, 0.030000, 0
3,2, 297174902200000, 0.014714, 0.030000, 0
0,0, 297174902400000, 0.033501, 0.030000, 0
0,1, 297174902400000, 0.024392, 0.030000, 0
0,2, 297174902400000, 0.019915, 0.030000, 0
1,0, 297174902400000, 0.035165, 0.030000, 0
1,1, 297174902400000, 0.025242, 0.030000, 0
1,2, 297174902400000, 0.023902, 0.030000, 0
2,0, 297174902400000, 0.033477, 0.030000, 0
2,1, 297174902400000, 0.019453, 0.030000, 0
2,2, 297174902400000, 0.021267, 0.030000, 0
3,0, 297174902400000, 0.032378, 0.030000, 0
3,1, 297174902400000, 0.020662, 0.030000, 0
3,2, 297174902400000, 0.019037, 0.030000, 0
0,0, 297174902600000, 0.035631, 0.030000, 0
0,1, 297174902600000, 0.023876, 0.030000, 0
0,2, 297174902600000, 0.023098, 0.030000, 0
1,0, 297174902600000, 0.035003, 0.030000, 0
1,1, 297174902600000, 0.024301, 0.030000, 0
1,2, 297174902600000, 0.016331, 0.030000, 0
2,0, 297174902600000, 0.034159, 0.030000, 0
2,1, 297174902600000, 0.021407, 0.030000, 0
2,2, 297174902600000, 0.022313, 0.030000, 0
3,0, 297174902600000, 0.035069, 0.030000, 0
3,1, 297174902600000, 0.023471, 0.030000, 0
3,2, 297174902600000, 0.019739, 0.030000, 0
0,0, 297174902800000, 0.035235, 0.030000, 0
0,1, 297174902800000, 0.025078, 0.030000, 0
0,2, 297174902800000, 0.023229, 0.030000, 0
1,0, 297174902800000, 0.033461, 0.030000, 0
1,1, 297174902800000, 0.025291, 0.030000, 0
1,2, 297174902800000, 0.019845, 0.030000, 0
2,0, 297174902800000, 0.031579, 0.030000, 0
2,1, 297174902800000, 0.020923, 0.030000, 0
2,2, 297174902800000, 0.024297, 0.030000, 0
3,0, 297174902800000, 0.033494, 0.030000, 0
3,1, 297174902800000, 0.023416, 0.030000, 0
3,2, 297174902800000, 0.021549, 0.030000, 0
0,0, 297174903000000, 0.035098, 0.030000, 0
0,1, 297174903000000, 0.027139, 0.030000, 0
0,2, 297174903000000, 0.026214, 0.030000, 0
1,0, 297174903000000, 0.032731, 0.030000, 0
1,1, 297174903000000, 0.028705, 0.030000, 0
1,2, 297174903000000, 0.025983, 0.030000, 0
2,0, 297174903000000, 0.030290, 0.030000, 0
2,1, 297174903000000, 0.023602, 0.030000, 0
2,2, 297174903000000, 0.022368, 0.030000, 0
3,0, 297174903000000, 0.032747, 0.030000, 0
3,1, 297174903000000, 0.029228, 0.030000, 0
3,2, 297174903000000, 0.026835, 0.030000, 0
0,0, 297174903200000, 0.030589, 0.030000, 0
0,1, 297174903200000, 0.025250, 0.030000, 0
0,2, 297174903200000, 0.026247, 0.030000, 0
1,0, 297174903200000, 0.030865, 0.030000, 0
1,1, 297174903200000, 0.024573, 0.030000, 0
1,2, 297174903200000, 0.024671, 0.030000, 0
2,0, 297174903200000, 0.031105, 0.030000, 0
2,1, 297174903200000, 0.024941, 0.030000, 0
2,2, 297174903200000, 0.024324, 0.030000, 0
3,0, 297174903200000, 0.027954, 0.030000, 0
3,1, 297174903200000, 0.027754, 0.030000, 0
3,2, 297174903200000, 0.023637, 0.030000, 0
0,0, 297174903400000, 0.035634, 0.030000, 0
0,1, 297174903400000, 0.030145, 0.030000, 0
0,2, 297174903400000, 0.029184, 0.030000, 0
1,0, 297174903400000, 0.034313, 0.030000, 0
1,1, 297174903400000, 0.026886, 0.030000, 0
1,2, 297174903400000, 0.028396, 0.030000, 0
2,0, 297174903400000, 0.037352, 0.030000, 0
2,1, 297174903400000, 0.028530, 0.030000, 0
2,2, 297174903400000, 0.025302, 0.030000, 0
3,0, 297174903400000, 0.034317, 0.030000, 0
3,1, 297174903400000, 0.031397, 0.030000, 0
3,2, 297174903400000, 0.027879, 0.030000, 0
0,0, 297174903600000, 0.035237, 0.030000, 0
0,1, 297174903600000, 0.031132, 0.030000, 0
0,2, 297174903600000, 0.024812, 0.030000, 0
1,0, 297174903600000, 0.033116, 0.030000, 0
1,1, 297174903600000, 0.028043, 0.030000, 0
1,2, 297174903600000, 0.024418, 0.030000, 0
2,0, 297174903600000, 0.036096, 0.030000, 0
2,1, 297174903600000, 0.027405, 0.030000, 0
2,2, 297174903600000, 0.022871, 0.030000, 0
3,0, 297174903600000, 0.034578, 0.030000, 0
3,1, 297174903600000, 0.028838, 0.030000, 0
3,2, 297174903600000, 0.022699, 0.030000, 0
0,0, 297174903800000, 0.035039, 0.030000, 0
0,1, 297174903800000, 0.031626, 0.030000, 0
0,2, 297174903800000, 0.022626, 0.030000, 0
1,0, 297174903800000, 0.031058, 0.030000, 0
1,1, 297174903800000, 0.025702, 0.030000, 0
1,2, 297174903800000, 0.020969, 0.030000, 0
2,0, 297174903800000, 0.034008, 0.030000, 0
2,1, 297174903800000, 0.025383, 0.030000, 0
2,2, 297174903800000, 0.020196, 0.030000, 0
3,0, 297174903800000, 0.033249, 0.030000, 0
3,1, 297174903800000, 0.027559, 0.030000, 0
3,2, 297174903800000, 0.018650, 0.030000, 0
0,0, 297174904000000, 0.029099, 0.030000, 0
0,1, 297174904000000, 0.026033, 0.030000, 0
0,2, 297174904000000, 0.020073, 0.030000, 0
1,0, 297174904000000, 0.028569, 0.030000, 0
1,1, 297174904000000, 0.023071, 0.030000, 0
1,2, 297174904000000, 0.020704, 0.030000, 0
2,0, 297174904000000, 0.025664, 0.030000, 0
2,1, 297174904000000, 0.019991, 0.030000, 0
2,2, 297174904000000, 0.015938, 0.030000, 0
3,0, 297174904000000, 0.029665, 0.030000, 0
3,1, 297174904000000, 0.025460, 0.030000, 0
3,2, 297174904000000, 0.018085, 0.030000, 0
0,0, 297174904200000, 0.033430, 0.030000, 0
0,1, 297174904200000, 0.023237, 0.030000, 0
0,2, 297174904200000, 0.027176, 0.030000, 0
1,0, 297174904200000, 0.031705, 0.030000, 0
1,1, 297174904200000, 0.024675, 0.030000, 0
1,2, 297174904200000, 0.023492, 0.030000, 0
2,0, 297174904200000, 0.031712, 0.030000, 0
