nodeName,timestamp,channel,size
node[2],0.258297,180,320
node[1],0.258297,180,320
node[0],0.258297,180,320
node[2],0.298297,180,320
node[1],0.298297,180,320
node[0],0.298297,180,320
node[2],0.344297,172,320
node[1],0.344297,172,320
node[0],0.344297,172,320
node[2],0.356297,180,320
node[1],0.356297,180,320
node[0],0.356297,180,320
node[2],0.360297,176,320
node[1],0.360297,176,320
node[0],0.360297,176,320
node[2],0.377297,172,320
node[1],0.377297,172,320
node[0],0.377297,172,320
node[2],0.396297,176,320
node[1],0.396297,176,320
node[0],0.396297,176,320
node[2],0.418297,172,320
node[1],0.418297,172,320
node[0],0.418297,172,320
node[2],0.421297,176,320
node[1],0.421297,176,320
node[0],0.421297,176,320
node[2],0.455297,176,320
node[1],0.455297,176,320
node[0],0.455297,176,320
node[2],0.465297,172,320
node[1],0.465297,172,320
node[0],0.465297,172,320
node[2],0.489297,180,320
node[1],0.489297,180,320
node[0],0.489297,180,320
node[2],0.501297,172,320
node[1],0.501297,172,320
node[0],0.501297,172,320
node[2],0.504297,176,320
node[1],0.504297,176,320
node[0],0.504297,176,320
node[2],0.531297,176,320
node[1],0.531297,176,320
node[0],0.531297,176,320
node[2],0.566297,180,320
node[1],0.566297,180,320
node[0],0.566297,180,320
node[2],0.581297,176,320
node[1],0.581297,176,320
node[0],0.581297,176,320
node[2],0.608297,176,320
node[1],0.608297,176,320
node[0],0.608297,176,320
node[2],0.616297,172,320
node[1],0.616297,172,320
node[0],0.616297,172,320
node[1],0.639171,176,320
node[3],0.639171,176,320
node[0],0.639171,176,320
node[2],0.641297,180,320
node[1],0.641297,180,320
node[0],0.641297,180,320
node[1],0.643171,172,320
node[3],0.643171,172,320
node[0],0.643171,172,320
node[2],0.644297,172,320
node[1],0.644297,172,320
node[0],0.644297,172,320
node[2],0.662297,176,320
node[1],0.662297,176,320
node[0],0.662297,176,320
node[1],0.664171,180,320
node[3],0.664171,180,320
node[0],0.664171,180,320
node[2],0.671297,180,320
node[1],0.671297,180,320
node[0],0.671297,180,320
node[1],0.680171,176,320
node[3],0.680171,176,320
node[0],0.680171,176,320
node[2],0.681297,172,320
node[1],0.681297,172,320
node[0],0.681297,172,320
node[2],0.699297,176,320
node[1],0.699297,176,320
node[0],0.699297,176,320
node[1],0.710171,172,320
node[3],0.710171,172,320
